iter	Passed	Remaining
0	2	2694
1	7	3873
2	11	3885
3	12	3233
4	14	2954
5	19	3156
6	24	3468
7	28	3584
8	35	3914
9	36	3578
10	38	3473
11	43	3560
12	47	3581
13	50	3588
14	53	3504
15	56	3469
16	60	3510
17	64	3524
18	68	3527
19	71	3481
20	76	3573
21	77	3448
22	79	3386
23	83	3384
24	83	3275
25	87	3292
26	92	3339
27	93	3248
28	94	3173
29	95	3096
30	99	3107
31	104	3154
32	108	3192
33	110	3131
34	114	3151
35	118	3164
36	119	3100
37	123	3118
38	126	3126
39	130	3135
40	132	3108
41	133	3056
42	136	3031
43	139	3037
44	143	3041
45	147	3056
46	147	2998
47	149	2960
48	150	2913
49	154	2938
50	158	2953
51	162	2963
52	163	2913
53	166	2921
54	171	2953
55	175	2958
56	179	2961
57	179	2923
58	183	2923
59	187	2931
60	192	2958
61	196	2972
62	200	2981
63	205	3009
64	210	3020
65	211	2986
66	215	2996
67	219	3003
68	222	3000
69	225	2999
70	230	3009
71	230	2972
72	235	2992
73	237	2968
74	239	2957
75	242	2953
76	247	2960
77	249	2950
78	254	2962
79	255	2941
80	259	2942
81	263	2944
82	267	2955
83	269	2940
84	271	2922
85	275	2924
86	278	2926
87	279	2896
88	282	2895
89	287	2904
90	291	2913
91	294	2906
92	298	2912
93	302	2911
94	305	2909
95	309	2911
96	313	2915
97	317	2919
98	320	2921
99	324	2924
100	329	2929
101	333	2937
102	337	2941
103	341	2940
104	345	2941
105	345	2914
106	347	2900
107	351	2906
108	355	2904
109	359	2910
110	363	2911
111	365	2897
112	369	2903
113	373	2900
114	377	2906
115	381	2909
116	385	2908
117	389	2913
118	393	2914
119	397	2915
120	401	2914
121	401	2890
122	405	2889
123	407	2875
124	407	2855
125	411	2856
126	415	2856
127	419	2854
128	422	2852
129	426	2852
130	430	2854
131	434	2857
132	439	2863
133	442	2858
134	445	2856
135	449	2856
136	453	2854
137	456	2854
138	460	2852
139	464	2851
140	467	2849
141	471	2848
142	472	2829
143	476	2831
144	479	2829
145	483	2827
146	487	2827
147	491	2827
148	494	2825
149	498	2822
150	502	2822
151	505	2822
152	509	2820
153	513	2820
154	518	2824
155	521	2821
156	525	2819
157	529	2820
158	533	2822
159	537	2821
160	540	2818
161	544	2819
162	548	2818
163	553	2819
164	556	2818
165	562	2823
166	568	2835
167	572	2837
168	576	2835
169	580	2832
170	584	2833
171	589	2836
172	593	2835
173	597	2834
174	599	2827
175	603	2825
176	607	2824
177	612	2827
178	616	2825
179	617	2815
180	621	2810
181	624	2807
182	626	2795
183	630	2794
184	634	2794
185	638	2794
186	642	2791
187	646	2790
188	650	2789
189	654	2789
190	658	2789
191	662	2786
192	664	2776
193	668	2777
194	671	2774
195	675	2770
196	679	2769
197	683	2766
198	687	2766
199	691	2767
200	695	2764
201	699	2761
202	702	2759
203	707	2759
204	711	2758
205	715	2759
206	719	2756
207	722	2752
208	727	2751
209	731	2751
210	735	2751
211	739	2748
212	743	2748
213	747	2747
214	752	2746
215	755	2743
216	759	2741
217	764	2743
218	768	2742
219	773	2742
220	777	2738
221	780	2735
222	784	2732
223	786	2726
224	791	2727
225	795	2724
226	799	2723
227	803	2719
228	805	2712
229	809	2711
230	813	2708
231	817	2705
232	821	2703
233	824	2699
234	829	2698
235	832	2695
236	836	2692
237	840	2690
238	844	2687
239	848	2685
240	852	2685
241	856	2681
242	858	2675
243	862	2673
244	866	2670
245	869	2666
246	873	2662
247	876	2657
248	880	2656
249	884	2654
250	888	2651
251	892	2648
252	896	2647
253	900	2646
254	905	2644
255	909	2642
256	913	2640
257	917	2637
258	920	2634
259	925	2633
260	929	2631
261	933	2630
262	934	2619
263	935	2608
264	939	2604
265	939	2593
266	943	2591
267	948	2590
268	951	2586
269	956	2584
270	960	2584
271	963	2579
272	967	2577
273	971	2574
274	975	2571
275	977	2564
276	981	2561
277	985	2558
278	986	2549
279	990	2546
280	993	2542
281	997	2539
282	999	2531
283	1003	2529
284	1007	2526
285	1011	2524
286	1012	2516
287	1016	2513
288	1018	2504
289	1022	2503
290	1026	2501
291	1030	2497
292	1033	2494
293	1037	2490
294	1041	2489
295	1046	2488
296	1047	2479
297	1048	2469
298	1049	2459
299	1052	2456
300	1056	2453
301	1061	2452
302	1065	2450
303	1068	2447
304	1070	2438
305	1074	2435
306	1077	2432
307	1082	2432
308	1089	2435
309	1093	2434
310	1097	2432
311	1099	2423
312	1100	2414
313	1104	2412
314	1107	2409
315	1110	2402
316	1113	2398
317	1116	2395
318	1121	2393
319	1125	2391
320	1128	2387
321	1132	2384
322	1136	2382
323	1141	2381
324	1143	2375
325	1148	2373
326	1152	2371
327	1154	2365
328	1159	2364
329	1160	2356
330	1165	2355
331	1169	2352
332	1172	2349
333	1177	2346
334	1181	2346
335	1185	2343
336	1190	2341
337	1195	2341
338	1200	2341
339	1202	2333
340	1203	2325
341	1207	2323
342	1211	2321
343	1215	2317
344	1219	2314
345	1223	2312
346	1227	2309
347	1230	2306
348	1234	2302
349	1235	2294
350	1237	2287
351	1241	2285
352	1245	2282
353	1249	2279
354	1252	2274
355	1255	2271
356	1259	2269
357	1264	2267
358	1268	2264
359	1271	2260
360	1275	2258
361	1280	2257
362	1285	2256
363	1289	2252
364	1293	2249
365	1297	2248
366	1302	2246
367	1306	2243
368	1310	2240
369	1314	2237
370	1318	2235
371	1323	2233
372	1327	2231
373	1331	2228
374	1335	2225
375	1339	2223
376	1344	2222
377	1345	2214
378	1346	2206
379	1349	2202
380	1353	2199
381	1357	2196
382	1361	2193
383	1365	2190
384	1369	2187
385	1371	2181
386	1375	2178
387	1379	2175
388	1383	2172
389	1386	2169
390	1390	2166
391	1395	2164
392	1399	2161
393	1403	2159
394	1408	2157
395	1410	2150
396	1414	2148
397	1418	2145
398	1420	2138
399	1424	2137
400	1428	2133
401	1434	2133
402	1440	2134
403	1445	2133
404	1450	2130
405	1454	2127
406	1459	2126
407	1463	2123
408	1468	2121
409	1471	2117
410	1476	2116
411	1481	2113
412	1484	2110
413	1488	2106
414	1493	2105
415	1497	2102
416	1501	2098
417	1504	2095
418	1509	2092
419	1512	2088
420	1517	2086
421	1520	2083
422	1524	2080
423	1529	2077
424	1534	2076
425	1539	2073
426	1540	2067
427	1544	2064
428	1548	2060
429	1553	2058
430	1559	2058
431	1564	2056
432	1568	2053
433	1572	2051
434	1577	2048
435	1581	2045
436	1583	2039
437	1587	2036
438	1591	2033
439	1595	2031
440	1597	2024
441	1601	2022
442	1603	2015
443	1606	2012
444	1611	2009
445	1615	2006
446	1619	2003
447	1623	2000
448	1628	1998
449	1633	1996
450	1638	1994
451	1641	1989
452	1645	1986
453	1649	1983
454	1653	1980
455	1659	1979
456	1671	1986
457	1677	1985
458	1682	1982
459	1686	1979
460	1692	1978
461	1698	1977
462	1702	1974
463	1706	1971
464	1711	1969
465	1715	1965
466	1720	1963
467	1722	1957
468	1725	1954
469	1731	1952
470	1733	1947
471	1734	1940
472	1738	1936
473	1741	1932
474	1745	1929
475	1752	1928
476	1756	1925
477	1760	1922
478	1764	1919
479	1768	1915
480	1772	1912
481	1777	1909
482	1780	1905
483	1783	1901
484	1786	1897
485	1790	1893
486	1793	1889
487	1798	1887
488	1799	1880
489	1804	1877
490	1811	1877
491	1815	1874
492	1820	1872
493	1823	1867
494	1828	1864
495	1832	1862
496	1837	1859
497	1841	1856
498	1846	1854
499	1851	1851
500	1857	1849
501	1859	1844
502	1862	1840
503	1867	1837
504	1872	1835
505	1877	1832
