iter	Passed	Remaining
0	65	65773
1	71	35445
2	74	24833
3	75	18885
4	76	15273
5	80	13299
6	84	11959
7	88	10950
8	93	10279
9	93	9290
10	96	8671
11	100	8294
12	104	7933
13	110	7752
14	112	7371
15	115	7081
16	119	6908
17	124	6779
18	129	6668
19	130	6417
20	134	6283
21	135	6023
22	137	5820
23	139	5680
24	140	5464
25	142	5336
26	146	5277
27	147	5119
28	148	4975
29	149	4839
30	152	4780
31	156	4739
32	160	4692
33	161	4588
34	165	4554
35	169	4527
36	169	4422
37	174	4426
38	179	4416
39	183	4393
40	185	4340
41	186	4264
42	188	4195
43	192	4187
44	196	4167
45	201	4187
46	202	4115
47	204	4054
48	205	3989
49	210	4006
50	215	4012
51	220	4016
52	220	3946
53	225	3942
54	229	3948
55	233	3940
56	237	3927
57	238	3871
58	241	3859
59	245	3849
60	249	3840
61	252	3826
62	257	3822
63	261	3819
64	264	3809
65	265	3760
66	270	3760
67	274	3765
68	279	3769
69	283	3771
70	288	3773
71	288	3723
72	293	3723
73	294	3688
74	296	3656
75	300	3650
76	304	3648
77	306	3624
78	311	3627
79	312	3598
80	316	3596
81	322	3605
82	326	3604
83	328	3582
84	330	3552
85	333	3546
86	337	3540
87	337	3501
88	341	3499
89	346	3500
90	349	3495
91	351	3473
92	355	3471
93	360	3474
94	364	3469
95	368	3465
96	371	3461
97	375	3458
98	379	3451
99	382	3445
100	386	3439
101	390	3439
102	394	3438
103	398	3433
104	403	3435
105	403	3403
106	405	3384
107	409	3379
108	413	3379
109	417	3379
110	421	3377
111	423	3360
112	427	3355
113	430	3344
114	434	3344
115	438	3339
116	441	3335
117	445	3330
118	449	3327
119	453	3322
120	456	3319
121	457	3292
122	461	3287
123	462	3269
124	463	3246
125	467	3241
126	471	3241
127	475	3241
128	479	3240
129	483	3235
130	486	3230
131	491	3230
132	495	3232
133	498	3220
134	501	3215
135	506	3215
136	510	3215
137	514	3212
138	518	3208
139	521	3206
140	525	3203
141	529	3198
142	530	3177
143	533	3173
144	537	3168
145	541	3167
146	544	3162
147	548	3158
148	552	3154
149	555	3150
150	559	3146
151	563	3143
152	567	3141
153	571	3137
154	575	3134
155	578	3130
156	582	3128
157	586	3126
158	591	3128
159	595	3126
160	599	3123
161	603	3120
162	607	3119
163	611	3115
164	614	3111
165	618	3107
166	623	3110
167	628	3112
168	631	3107
169	636	3108
170	641	3110
171	646	3111
172	649	3106
173	654	3107
174	657	3100
175	662	3099
176	666	3097
177	670	3094
178	674	3092
179	675	3076
180	678	3070
181	682	3067
182	683	3053
183	687	3050
184	691	3046
185	695	3045
186	699	3041
187	703	3040
188	707	3036
189	711	3031
190	714	3027
191	718	3025
192	720	3013
193	724	3011
194	728	3006
195	732	3003
196	736	3002
197	740	2999
198	744	2995
199	748	2992
200	752	2990
201	756	2987
202	759	2983
203	763	2980
204	767	2976
205	772	2976
206	776	2973
207	779	2969
208	783	2965
209	787	2963
210	791	2960
211	794	2954
212	798	2951
213	803	2949
214	807	2948
215	811	2944
216	815	2940
217	818	2936
218	823	2935
219	827	2932
220	830	2928
221	834	2925
222	838	2921
223	840	2913
224	844	2909
225	849	2907
226	853	2904
227	857	2903
228	860	2895
229	863	2892
230	867	2888
231	872	2888
232	876	2884
233	879	2880
234	884	2878
235	887	2874
236	891	2871
237	896	2870
238	900	2868
239	904	2865
240	908	2862
241	912	2857
242	914	2848
243	918	2845
244	922	2844
245	926	2840
246	930	2836
247	934	2834
248	938	2831
249	942	2827
250	946	2824
251	951	2823
252	955	2821
253	959	2819
254	963	2814
255	967	2812
256	972	2811
257	977	2811
258	981	2809
259	986	2806
260	989	2802
261	994	2800
262	995	2788
263	996	2777
264	1000	2774
265	1001	2762
266	1004	2758
267	1009	2756
268	1012	2751
269	1016	2749
270	1020	2746
271	1023	2738
272	1027	2736
273	1031	2731
274	1034	2727
275	1036	2719
276	1040	2715
277	1044	2712
278	1045	2702
279	1049	2699
280	1053	2695
281	1057	2693
282	1059	2684
283	1064	2682
284	1067	2679
285	1071	2675
286	1073	2667
287	1077	2664
288	1079	2655
289	1082	2651
290	1086	2647
291	1090	2644
292	1094	2640
293	1098	2638
294	1103	2636
295	1107	2634
296	1108	2623
297	1109	2612
298	1111	2604
299	1114	2600
300	1118	2598
301	1123	2596
302	1128	2594
303	1131	2590
304	1132	2580
305	1136	2577
306	1140	2573
307	1144	2570
308	1148	2568
309	1152	2565
310	1156	2561
311	1157	2552
312	1158	2543
313	1163	2541
314	1168	2540
315	1170	2534
316	1174	2531
317	1179	2529
318	1183	2525
319	1186	2521
320	1190	2517
321	1197	2521
322	1201	2518
323	1204	2513
324	1207	2506
325	1211	2505
326	1215	2502
327	1218	2497
328	1222	2494
329	1223	2484
330	1228	2483
331	1234	2483
332	1239	2482
333	1243	2480
334	1248	2478
335	1253	2476
336	1256	2472
337	1260	2468
338	1264	2464
339	1265	2456
340	1266	2447
341	1270	2444
342	1274	2440
343	1277	2437
344	1281	2433
345	1285	2429
346	1289	2426
347	1293	2422
348	1297	2420
349	1298	2412
350	1300	2405
351	1305	2403
352	1309	2399
353	1313	2396
354	1316	2391
355	1320	2388
356	1328	2392
357	1333	2390
358	1337	2388
359	1341	2384
360	1347	2385
361	1358	2393
362	1365	2395
363	1390	2428
364	1395	2427
365	1400	2425
366	1406	2425
367	1416	2433
368	1421	2430
369	1425	2426
370	1428	2422
371	1432	2418
372	1437	2416
373	1441	2412
374	1445	2408
375	1449	2405
376	1453	2401
377	1454	2393
378	1455	2384
379	1458	2379
380	1462	2376
381	1466	2372
382	1470	2368
383	1472	2362
384	1476	2359
385	1479	2353
386	1484	2351
387	1488	2347
388	1491	2343
389	1496	2340
390	1500	2336
391	1504	2333
392	1507	2328
393	1511	2324
394	1515	2320
395	1516	2313
396	1520	2309
397	1524	2306
398	1525	2298
399	1529	2294
400	1531	2288
401	1535	2284
402	1539	2280
403	1543	2276
404	1546	2272
405	1550	2268
406	1554	2265
407	1558	2261
408	1562	2257
409	1565	2253
410	1569	2249
411	1573	2245
412	1577	2242
413	1581	2238
414	1586	2235
415	1590	2232
416	1594	2228
417	1597	2224
418	1601	2220
419	1604	2215
420	1609	2213
421	1613	2209
422	1617	2206
423	1621	2203
424	1626	2200
425	1630	2197
426	1631	2189
427	1635	2185
428	1639	2181
429	1643	2178
430	1647	2175
431	1652	2172
432	1657	2170
433	1662	2168
434	1668	2166
435	1673	2164
436	1676	2160
437	1682	2158
438	1686	2155
439	1691	2152
440	1692	2145
441	1697	2142
442	1698	2135
443	1702	2131
444	1706	2128
445	1710	2125
446	1715	2121
447	1718	2117
448	1723	2114
449	1726	2110
450	1731	2107
451	1733	2101
452	1738	2098
453	1742	2095
454	1746	2091
455	1749	2087
456	1754	2084
457	1758	2081
458	1763	2078
459	1768	2075
460	1773	2073
461	1778	2070
462	1782	2067
463	1787	2065
464	1793	2063
465	1798	2060
466	1802	2056
467	1804	2051
