,confirm,suspect,dead,heal,date,y,localConfirm
0,41,0,1,0,2020-01-13,2020,0
1,41,0,1,0,2020-01-14,2020,0
2,41,0,2,5,2020-01-15,2020,0
3,45,0,2,8,2020-01-16,2020,0
4,62,0,2,12,2020-01-17,2020,0
5,198,0,3,17,2020-01-18,2020,0
6,275,0,4,18,2020-01-19,2020,0
7,291,54,6,25,2020-01-20,2020,0
8,440,37,9,25,2020-01-21,2020,0
9,574,393,17,25,2020-01-22,2020,0
10,835,1072,25,34,2020-01-23,2020,0
11,1297,1965,41,38,2020-01-24,2020,0
12,1985,2684,56,49,2020-01-25,2020,0
13,2761,5794,80,51,2020-01-26,2020,0
14,4535,6973,106,60,2020-01-27,2020,0
15,5997,9239,132,103,2020-01-28,2020,0
16,7736,12167,170,124,2020-01-29,2020,0
17,9720,15238,213,171,2020-01-30,2020,0
18,11821,17988,259,243,2020-01-31,2020,0
19,14411,19544,304,328,2020-02-01,2020,0
20,17238,21558,361,475,2020-02-02,2020,0
21,20471,23214,425,632,2020-02-03,2020,0
22,24363,23260,491,892,2020-02-04,2020,0
23,28060,24702,564,1153,2020-02-05,2020,0
24,31211,26359,637,1542,2020-02-06,2020,0
25,34598,27657,723,2052,2020-02-07,2020,0
26,37251,28942,812,2651,2020-02-08,2020,0
27,40235,23589,909,3283,2020-02-09,2020,0
28,42708,21675,1017,3998,2020-02-10,2020,0
29,44730,16067,1114,4742,2020-02-11,2020,0
30,59882,13435,1368,5915,2020-02-12,2020,0
31,63932,10109,1381,6728,2020-02-13,2020,0
32,66576,8969,1524,8101,2020-02-14,2020,0
33,68584,8228,1666,9425,2020-02-15,2020,0
34,70635,7264,1772,10853,2020-02-16,2020,0
35,72528,6242,1870,12561,2020-02-17,2020,0
36,74279,5248,2006,14387,2020-02-18,2020,0
37,75002,4922,2121,16157,2020-02-19,2020,0
38,75993,5206,2239,18266,2020-02-20,2020,0
39,76392,5365,2348,20673,2020-02-21,2020,0
40,77041,4148,2445,22907,2020-02-22,2020,0
41,77262,3434,2595,24757,2020-02-23,2020,0
42,77779,2824,2666,27353,2020-02-24,2020,0
43,78190,2491,2718,29775,2020-02-25,2020,0
44,78630,2358,2747,32531,2020-02-26,2020,0
45,78959,2308,2791,36157,2020-02-27,2020,0
46,79389,1418,2838,39049,2020-02-28,2020,0
47,79968,851,2873,41675,2020-02-29,2020,0
48,80174,715,2915,44518,2020-03-01,2020,0
49,80302,587,2946,47260,2020-03-02,2020,0
50,80422,520,2984,49914,2020-03-03,2020,0
51,80565,522,3015,52109,2020-03-04,2020,0
52,80710,482,3045,53793,2020-03-05,2020,0
53,80813,502,3073,55477,2020-03-06,2020,0
54,80859,458,3100,57143,2020-03-07,2020,0
55,80904,421,3123,58684,2020-03-08,2020,0
56,80924,349,3140,59982,2020-03-09,2020,0
57,80955,285,3162,61567,2020-03-10,2020,0
58,80992,253,3173,62887,2020-03-11,2020,0
59,81003,147,3180,64216,2020-03-12,2020,0
60,81021,115,3194,65649,2020-03-13,2020,0
61,81048,113,3204,67022,2020-03-14,2020,0
62,81077,134,3218,67863,2020-03-15,2020,0
63,81116,128,3231,68799,2020-03-16,2020,0
