网点ID,网点名称,经度,维度,城市,是否收费,网点类型,停车费,车位数,是否启用,管理人员ID,租金
9,弘彧大厦,116.3448252,39.99893027,北京市,0,0,0,0,0,0,0
17,健康智谷网点,116.3600395,39.98121952,北京市,0,2,0,0,1,117,0
47,万达主题乐园停车场,100.7447517,22.02997129,西双版纳傣族自治州,0,2,0,0,1,0,0
54,万达酒吧街南停车场,100.7618416,22.01341905,西双版纳傣族自治州,0,2,0,0,1,0,0
55,曼听公园景区停车场,100.8074244,21.99635134,西双版纳傣族自治州,0,2,0,0,1,0,0
56,勐泐大佛寺景区停车场,100.8054311,21.96599148,西双版纳傣族自治州,0,2,0,0,1,0,0
64,万达国际度假区营销中心停车场,100.7479502,22.01781506,西双版纳傣族自治州,0,2,0,0,1,0,0
66,傣泐金湾,100.7953652,22.02630471,西双版纳傣族自治州,0,2,0,0,1,0,0
67,滨江大道酒吧街新大桥以南路侧停车场,100.807628,22.00827257,西双版纳傣族自治州,0,2,0,0,1,0,0
70,告庄西双景游客服务中心停车场,100.8199314,22.01354247,西双版纳傣族自治州,0,2,0,0,1,0,0
71,观澜美食街,100.8045116,22.00934936,西双版纳傣族自治州,0,2,0,0,0,0,0
72,万达国际度假区行政楼停车场,100.7411842,22.03394195,西双版纳傣族自治州,0,2,0,0,1,0,0
75,嘎洒国际机场停车场,100.7678427,21.97812242,西双版纳傣族自治州,0,2,0,0,1,0,0
77,财富中心地面停车场,100.7981251,22.00523528,西双版纳傣族自治州,0,2,0,0,1,0,0
81,智源尚居小区门前东侧,100.7935265,21.97226499,西双版纳傣族自治州,0,2,0,0,0,0,0
82,智源尚居小区大门西侧停车场,100.7911086,21.97291963,西双版纳傣族自治州,0,2,0,0,1,0,0
83,洲际国际酒店,100.8274463,21.98127857,西双版纳傣族自治州,0,2,0,0,1,0,0
86,桃源码头停车场,100.1159424,25.90999647,大理白族自治州,0,2,0,0,0,0,0
97,喜洲古镇入口,100.1264075,25.85475626,大理白族自治州,0,2,0,0,0,0,0
98,大理才村,100.1925412,25.72134006,大理白族自治州,0,2,0,5,1,313,0
111,兴隆院停车场,100.1575105,25.69335099,大理白族自治州,0,2,0,0,0,0,0
115,崇圣寺三塔公园外围停车场,100.1503935,25.70906589,大理白族自治州,0,2,0,0,0,0,0
119,崇圣寺三塔景区北停车场,100.1485105,25.71078331,大理白族自治州,0,2,0,0,0,0,0
122,崇圣寺三塔景区南停车场,100.149242,25.70807836,大理白族自治州,0,2,0,0,0,0,0
